id,V1,V2,V3,Class
1,291,802,0.575356,2
2,234,656,0.588769,2
3,332,698,0.451603,2
4,352,772,0.567596,2
5,41,809,0.754151,2
6,373,892,0.532364,2
7,447,950,0.728869,2
8,364,974,0.709051,2
9,360,955,0.488839,3
10,369,915,0.564451,2
11,230,811,0.610693,4
12,83,623,0.649713,5
13,118,654,0.603097,5
14,167,617,0.548863,4
15,350,725,0.708345,3
16,128,814,0.703275,5
17,465,795,0.659438,5
18,310,918,0.358435,4
19,483,710,0.582167,3
20,546,974,0.698287,3
21,536,813,0.553168,3
22,945,842,0.670926,3
23,969,857,0.691358,4
24,805,574,0.68932,3
25,679,630,0.438211,4
26,399,799,0.552132,4
27,424,800,0.557236,4
28,359,679,0.55508,4
29,255,721,0.494065,4
30,480,872,0.543987,4
31,278,16,0.364165,1
32,386,16,0.354607,1
33,411,20,0.421645,1
34,490,34,0.46413,1
35,518,18,0.350272,1
36,571,21,0.434078,1
37,600,19,0.392891,1
38,236,24,0.353788,1
39,679,25,0.366338,1
40,28,28,0.367555,1
41,65,29,0.373544,1
42,850,29,0.400424,1
43,922,31,0.377356,1
44,76,38,0.355741,1
45,321,46,0.414738,1
46,51,48,0.481029,1
47,422,46,0.391391,1
48,181,46,0.351995,1
49,280,54,0.396019,1
50,598,55,0.454381,1
51,956,53,0.359401,1
52,371,56,0.392774,1
53,385,59,0.444237,1
54,970,58,0.360596,1
55,656,62,0.351802,1
56,991,63,0.37766,1
57,349,66,0.381626,1
58,222,68,0.410593,1
59,436,66,0.354035,1
60,529,69,0.411394,1
61,442,76,0.401082,1
62,275,78,0.419826,1
63,868,80,0.417142,1
64,714,79,0.359181,1
65,401,91,0.476023,1
66,545,89,0.481404,1
67,94,86,0.442358,1
68,368,88,0.453674,1
69,672,86,0.374963,1
70,459,90,0.381103,1
71,825,88,0.372037,1
72,429,97,0.478076,1
73,729,95,0.377494,1
74,769,97,0.384945,1
75,698,129,0.489194,1
76,740,109,0.398342,1
77,20,112,0.42063,1
78,163,112,0.367751,1
79,618,110,0.357261,1
80,432,128,0.545914,1
81,531,112,0.377387,1
82,760,119,0.355253,1
83,641,122,0.413516,1
84,213,128,0.408003,1
85,476,122,0.360569,1
86,84,130,0.417641,1
87,179,128,0.38408,1
88,979,132,0.683198,1
89,762,131,0.377932,1
90,851,130,0.40856,1
91,634,131,0.358265,1
92,302,138,0.364846,1
93,521,146,0.493271,1
94,407,147,0.418145,1
95,828,150,0.370332,1
96,169,158,0.438179,1
97,203,161,0.510163,1
98,453,159,0.471501,1
99,45,164,0.467657,1
100,109,165,0.460258,1
101,414,160,0.401825,1
102,795,163,0.437143,1
103,673,164,0.393024,1
104,734,171,0.432139,1
105,864,166,0.355407,1
106,422,179,0.490548,1
107,307,175,0.377531,1
108,504,175,0.3672,1
109,488,202,0.431069,1
110,223,186,0.542412,1
111,259,182,0.373892,1
112,606,187,0.418323,1
113,820,182,0.362974,1
114,551,188,0.432223,1
115,515,191,0.386841,1
116,30,192,0.352198,1
117,273,195,0.404871,1
118,814,205,0.457791,1
119,907,194,0.385086,1
120,308,197,0.361934,1
121,67,204,0.427795,1
122,552,202,0.363477,1
123,888,209,0.419384,1
124,636,241,0.436497,1
125,256,218,0.48052,1
126,931,210,0.395803,1
127,192,210,0.355819,1
128,328,217,0.464293,1
129,766,213,0.357427,1
130,414,230,0.554505,1
131,366,237,0.458909,1
132,665,228,0.431263,1
133,970,237,0.457317,1
134,298,229,0.420516,1
135,206,232,0.424402,1
136,838,233,0.353884,1
137,739,234,0.368579,1
138,62,237,0.355522,1
139,242,239,0.387506,1
140,162,241,0.363686,1
141,887,247,0.376025,1
142,491,250,0.389414,1
143,176,259,0.437973,1
144,926,255,0.387451,1
145,421,257,0.385881,1
146,60,258,0.358385,1
147,277,261,0.363968,1
148,336,263,0.435046,1
149,868,261,0.361039,1
150,131,263,0.370122,1
151,440,273,0.466384,1
152,602,263,0.361625,1
153,509,282,0.451153,1
154,956,289,0.447652,1
155,243,272,0.414124,1
156,399,279,0.470472,1
157,908,274,0.387566,1
158,283,272,0.362763,1
159,55,281,0.400383,1
160,299,287,0.400128,1
161,864,286,0.358746,1
162,37,292,0.411929,1
163,140,295,0.422148,1
164,564,302,0.424021,1
165,364,298,0.394671,1
166,75,297,0.384893,1
167,885,308,0.423256,1
168,320,314,0.454578,1
169,464,318,0.472402,1
170,142,311,0.367918,1
171,690,310,0.36272,1
172,766,314,0.407104,1
173,392,327,0.468601,1
174,85,325,0.399733,1
175,578,324,0.354468,1
176,428,331,0.385815,1
177,998,335,0.39762,1
178,116,333,0.414235,1
179,710,339,0.412532,1
180,588,341,0.414797,1
181,774,330,0.351563,1
182,280,343,0.450061,1
183,404,350,0.484282,1
184,748,340,0.353081,1
185,354,346,0.365096,1
186,318,354,0.395033,1
187,530,353,0.389825,1
188,791,352,0.385388,1
189,196,356,0.372349,1
190,904,361,0.415372,1
191,215,372,0.412585,1
192,603,369,0.406113,1
193,177,369,0.381732,1
194,360,372,0.401085,1
195,30,373,0.364586,1
196,338,375,0.374722,1
197,397,398,0.608319,1
198,817,382,0.37288,1
199,921,387,0.415158,1
200,615,389,0.414386,1
201,864,388,0.355104,1
202,742,390,0.356025,1
203,76,392,0.353456,1
204,550,397,0.405201,1
205,872,409,0.381515,1
206,456,415,0.42882,1
207,276,413,0.424534,1
208,41,430,0.480091,1
209,204,418,0.476518,1
210,557,417,0.424962,1
211,648,435,0.465499,1
212,765,424,0.446679,1
213,392,420,0.352079,1
214,612,422,0.353297,1
215,292,424,0.364403,1
216,858,438,0.388594,1
217,885,433,0.376115,1
218,236,435,0.37273,1
219,488,439,0.376514,1
220,251,448,0.425794,1
221,364,442,0.350794,1
222,597,456,0.452686,1
223,341,449,0.400999,1
224,426,456,0.375907,1
225,718,453,0.361758,1
226,79,462,0.537306,1
227,633,462,0.409815,1
228,712,458,0.358227,1
229,500,464,0.357809,1
230,441,466,0.376347,1
231,756,472,0.472666,1
232,716,469,0.41471,1
233,277,480,0.539647,1
234,409,483,0.574885,1
235,354,471,0.376792,1
236,326,492,0.501396,1
237,105,484,0.47706,1
238,515,493,0.583588,1
239,918,485,0.361884,1
240,679,490,0.469989,1
241,633,501,0.441256,1
242,246,491,0.380595,1
243,467,492,0.395957,1
244,847,496,0.360448,1
245,123,503,0.459973,1
246,210,504,0.425706,1
247,906,505,0.41678,1
248,596,504,0.355652,1
249,842,506,0.413387,1
250,18,518,0.68358,1
251,563,529,0.480648,1
252,453,541,0.455883,1
253,530,518,0.352833,1
254,199,524,0.467615,1
255,86,523,0.472824,1
256,621,544,0.446096,1
257,646,524,0.350099,1
258,256,539,0.578664,1
259,522,536,0.4243,1
260,761,537,0.391191,1
261,935,546,0.453596,1
262,210,539,0.41682,1
263,172,542,0.352713,1
264,329,550,0.426,1
265,728,548,0.424356,1
266,165,561,0.482218,1
267,508,572,0.51379,1
268,550,563,0.364956,1
269,586,565,0.446423,1
270,140,579,0.554163,1
271,686,576,0.401932,1
272,276,570,0.350761,1
273,991,577,0.353092,1
274,601,580,0.375916,1
275,375,583,0.356869,1
276,648,586,0.404622,1
277,763,582,0.376129,1
278,273,583,0.376912,1
279,710,583,0.359144,1
280,766,591,0.360968,1
281,612,592,0.355673,1
282,44,594,0.363226,1
283,99,594,0.38279,1
284,391,596,0.357051,1
285,337,605,0.363056,1
286,675,607,0.3961,1
287,411,612,0.437149,1
288,777,616,0.416136,1
289,992,610,0.361312,1
290,274,617,0.541906,1
291,632,615,0.410634,1
292,552,621,0.470749,1
293,726,626,0.396268,1
294,359,621,0.366283,1
295,429,626,0.491486,1
296,651,627,0.424361,1
297,131,634,0.394137,1
298,85,637,0.416044,1
299,452,639,0.403379,1
300,567,641,0.417831,1
301,284,645,0.370738,1
302,662,649,0.372811,1
303,860,646,0.357975,1
304,686,648,0.367819,1
305,928,679,0.493793,1
306,599,658,0.386207,1
307,684,654,0.355316,1
308,781,658,0.405857,1
309,445,659,0.446897,1
310,19,666,0.654498,1
311,703,704,0.516167,1
312,76,666,0.350494,1
313,712,682,0.40181,1
314,554,687,0.484419,1
315,99,691,0.494373,1
316,272,689,0.458944,1
317,487,690,0.366382,1
318,763,696,0.437118,1
319,28,691,0.367388,1
320,989,707,0.457566,1
321,628,700,0.399552,1
322,729,701,0.375357,1
323,840,702,0.355846,1
324,35,704,0.375852,1
325,183,711,0.552845,1
326,116,711,0.411225,1
327,638,717,0.435279,1
328,846,712,0.352935,1
329,814,715,0.362308,1
330,46,723,0.404515,1
331,429,727,0.448123,1
332,571,722,0.420327,1
333,119,727,0.478407,1
334,290,720,0.357894,1
335,20,722,0.35042,1
336,540,724,0.429563,1
337,941,725,0.379467,1
338,24,728,0.357209,1
339,825,732,0.44553,1
340,945,739,0.377652,1
341,972,749,0.417903,1
342,38,760,0.598911,1
343,282,749,0.384101,1
344,73,748,0.362531,1
345,790,764,0.428627,1
346,658,752,0.404787,1
347,136,764,0.415685,1
348,853,762,0.445959,1
349,576,761,0.414217,1
350,665,761,0.41066,1
351,708,770,0.363405,1
352,492,774,0.502843,1
353,698,778,0.402598,1
354,51,788,0.364286,1
355,598,794,0.400147,1
356,639,798,0.439939,1
357,151,793,0.35908,1
358,999,799,0.395278,1
359,730,804,0.463276,1
360,325,806,0.53003,1
361,904,802,0.353889,1
362,916,824,0.416558,1
363,193,822,0.559341,1
364,507,820,0.41943,1
365,578,822,0.35048,1
366,747,827,0.455514,1
367,797,826,0.419361,1
368,822,826,0.379561,1
369,856,825,0.376546,1
370,984,825,0.387284,1
371,575,844,0.65992,1
372,554,839,0.37627,1
373,378,846,0.351953,1
374,423,853,0.480235,1
375,18,861,0.707771,1
376,153,861,0.385928,1
377,903,863,0.361071,1
378,49,874,0.418794,1
379,836,870,0.386461,1
380,890,879,0.411821,1
381,257,887,0.613464,1
382,149,881,0.402058,1
383,935,898,0.504856,1
384,319,903,0.444585,1
385,561,902,0.639795,1
386,588,906,0.612124,1
387,78,908,0.453376,1
388,147,907,0.41924,1
389,965,910,0.648748,1
390,278,912,0.519598,1
391,897,918,0.42251,1
392,431,920,0.485954,1
393,257,920,0.369299,1
394,597,922,0.374347,1
395,938,925,0.371949,1
396,602,935,0.455694,1
397,684,932,0.386847,1
398,968,935,0.385553,1
399,529,944,0.547493,1
400,30,955,0.376187,1
401,189,954,0.352736,1
402,598,958,0.513011,1
403,325,955,0.396981,1
404,110,958,0.351593,1
405,937,963,0.486767,1
406,82,960,0.391055,1
407,114,968,0.466401,1
408,634,972,0.420036,1
409,992,970,0.350581,1
410,472,973,0.363768,1
411,204,982,0.458328,1
412,828,982,0.476232,1
413,335,989,0.488178,1
414,1000,984,0.480106,1
415,266,988,0.50271,1
416,300,992,0.414974,1
417,475,988,0.375447,1
418,960,988,0.355885,1
419,851,1001,0.413346,1
420,542,993,0.401318,1
421,65,996,0.380339,1
422,652,1002,0.491177,1
423,129,1001,0.357658,1
424,394,1004,0.44636,1
425,566,1001,0.36338,1
426,26,1003,0.423875,1
427,136,1006,0.360414,1
428,864,1008,0.373069,1
429,196,430,0.563357,2
430,50,302,0.515474,2
431,392,439,0.767182,3
432,360,101,0.55907,5
433,33,383,0.696848,5
434,237,268,0.612603,4
435,268,52,0.512743,4
436,148,113,0.538053,4
437,463,354,0.452426,4
438,274,627,0.576878,3
439,465,953,0.575047,3
440,269,746,0.705637,2
441,561,645,0.497414,5
442,756,581,0.612394,2
443,692,812,0.678083,4
444,975,789,0.6414,4
445,861,596,0.635178,4
446,733,759,0.634017,5
447,918,437,0.521845,3
448,932,448,0.536196,4
449,678,457,0.593243,5
450,709,382,0.628265,4
451,784,292,0.655884,4
452,800,314,0.527466,5
453,643,411,0.461823,5
454,478,472,0.628727,5
455,546,286,0.584002,5
456,306,303,0.458158,4
457,731,223,0.601881,2
458,939,183,0.624513,3
459,701,79,0.482059,3
460,648,108,0.614308,4
461,698,181,0.60367,4
462,147,16,0.553567,1
463,374,16,0.404087,1
464,508,16,0.365854,1
465,932,16,0.387256,1
466,641,19,0.384801,1
467,403,23,0.394962,1
468,884,20,0.351021,1
469,443,23,0.370764,1
470,777,25,0.396116,1
471,414,28,0.3558,1
472,607,35,0.430913,1
473,984,35,0.379951,1
474,440,42,0.448439,1
475,834,38,0.358987,1
476,946,43,0.397945,1
477,992,42,0.355841,1
478,79,45,0.427208,1
479,222,51,0.372345,1
480,396,54,0.644664,1
481,136,68,0.410163,1
482,1006,66,0.364,1
483,816,70,0.410381,1
484,981,81,0.466594,1
485,398,72,0.35394,1
486,742,74,0.359249,1
487,160,82,0.35748,1
488,554,87,0.664489,1
489,462,86,0.351854,1
490,101,93,0.413817,1
491,761,92,0.422429,1
492,40,96,0.355182,1
493,711,98,0.370536,1
494,208,100,0.353974,1
495,192,106,0.363602,1
496,616,113,0.362317,1
497,34,120,0.393248,1
498,510,121,0.369377,1
499,249,125,0.421092,1
500,454,128,0.350428,1
501,65,136,0.466332,1
502,202,136,0.357318,1
503,40,152,0.457846,1
504,974,139,0.394036,1
505,406,143,0.466876,1
506,272,145,0.421959,1
507,547,147,0.455915,1
508,238,148,0.354715,1
509,426,163,0.480337,1
510,849,164,0.424669,1
511,701,165,0.373859,1
512,209,172,0.449636,1
513,612,169,0.369251,1
514,173,179,0.494574,1
515,67,186,0.409038,1
516,217,197,0.464032,1
517,299,191,0.385581,1
518,1002,200,0.426759,1
519,330,201,0.494632,1
520,73,213,0.37164,1
521,419,226,0.501164,1
522,195,217,0.628068,1
523,918,216,0.470059,1
524,664,218,0.352374,1
525,480,230,0.478205,1
526,601,233,0.385347,1
527,226,233,0.358995,1
528,305,239,0.407234,1
529,344,240,0.352082,1
530,520,242,0.363088,1
531,448,245,0.421225,1
532,122,254,0.470241,1
533,725,247,0.382242,1
534,750,247,0.390365,1
535,234,249,0.400359,1
536,359,250,0.412344,1
537,539,257,0.396882,1
538,966,279,0.54447,1
539,314,263,0.457873,1
540,678,263,0.363391,1
541,603,270,0.369666,1
542,651,281,0.452556,1
543,461,272,0.355782,1
544,376,289,0.381729,1
545,927,298,0.455245,1
546,427,309,0.457045,1
547,500,309,0.430835,1
548,674,308,0.411808,1
549,134,317,0.537243,1
550,183,315,0.385107,1
551,877,317,0.424303,1
552,96,321,0.380804,1
553,693,323,0.366955,1
554,931,327,0.493162,1
555,373,322,0.379196,1
556,131,335,0.425215,1
557,895,342,0.480175,1
558,96,337,0.406373,1
559,332,347,0.507272,1
560,280,354,0.405705,1
561,411,356,0.386303,1
562,625,369,0.380947,1
563,243,384,0.551765,1
564,323,384,0.473279,1
565,933,390,0.437669,1
566,109,380,0.38737,1
567,564,406,0.561416,1
568,491,396,0.441609,1
569,70,397,0.356975,1
570,147,396,0.38869,1
571,602,398,0.352475,1
572,744,404,0.423852,1
573,263,415,0.387646,1
574,615,426,0.475621,1
575,748,417,0.359466,1
576,958,432,0.540865,1
577,58,492,0.483956,1
578,257,433,0.464298,1
579,683,441,0.396337,1
580,447,446,0.377855,1
581,518,454,0.357955,1
582,852,454,0.361126,1
583,238,461,0.470905,1
584,454,456,0.352119,1
585,870,484,0.555678,1
586,97,468,0.379238,1
587,118,476,0.500499,1
588,914,475,0.361481,1
589,512,480,0.418656,1
590,96,486,0.357585,1
591,268,487,0.404533,1
592,288,499,0.382564,1
593,32,502,0.377112,1
594,265,514,0.5747,1
595,617,516,0.351693,1
596,381,520,0.405102,1
597,802,521,0.389963,1
598,90,527,0.498695,1
599,598,529,0.372384,1
600,619,534,0.412035,1
601,768,535,0.405021,1
602,412,534,0.35834,1
603,307,543,0.382802,1
604,962,551,0.413294,1
605,174,548,0.354181,1
606,205,566,0.520854,1
607,330,551,0.398278,1
608,394,550,0.35674,1
609,602,550,0.354207,1
610,922,564,0.484901,1
611,69,563,0.396884,1
612,674,566,0.556834,1
613,806,562,0.359503,1
614,983,584,0.493809,1
615,551,570,0.392524,1
616,122,588,0.422153,1
617,370,575,0.356227,1
618,70,576,0.356905,1
619,410,582,0.409299,1
620,324,582,0.354139,1
621,19,599,0.461593,1
622,607,589,0.39101,1
623,80,619,0.478778,1
624,230,594,0.424893,1
625,952,609,0.452266,1
626,805,601,0.381825,1
627,620,607,0.464715,1
628,242,620,0.471988,1
629,501,663,0.538582,1
630,146,611,0.381749,1
631,424,611,0.406284,1
632,341,612,0.371524,1
633,811,612,0.379699,1
634,37,616,0.380659,1
635,401,622,0.380059,1
636,920,626,0.440664,1
637,632,628,0.351773,1
638,798,629,0.463348,1
639,586,638,0.449784,1
640,971,632,0.369633,1
641,636,635,0.371799,1
642,440,642,0.353016,1
643,983,646,0.37548,1
644,271,661,0.450424,1
645,229,659,0.507306,1
646,651,661,0.448651,1
647,939,655,0.589725,1
648,618,667,0.492982,1
649,100,666,0.383296,1
650,435,671,0.419086,1
651,566,755,0.617785,1
652,573,672,0.367926,1
653,68,680,0.412798,1
654,243,686,0.529781,1
655,626,684,0.397454,1
656,489,690,0.525875,1
657,401,705,0.458378,1
658,674,692,0.393564,1
659,352,692,0.364522,1
660,730,697,0.374508,1
661,105,704,0.470454,1
662,326,698,0.361122,1
663,22,700,0.382629,1
664,772,717,0.511456,1
665,887,704,0.360656,1
666,290,715,0.46404,1
667,646,709,0.432289,1
668,682,709,0.402564,1
669,142,710,0.361437,1
670,896,718,0.360749,1
671,148,723,0.423495,1
672,198,724,0.387274,1
673,192,725,0.356212,1
674,264,726,0.363061,1
675,599,727,0.364699,1
676,655,736,0.453903,1
677,912,733,0.368631,1
678,534,760,0.454491,1
679,454,741,0.365755,1
680,808,745,0.482047,1
681,27,745,0.388458,1
682,113,754,0.482913,1
683,354,749,0.393686,1
684,672,750,0.431037,1
685,67,757,0.417615,1
686,462,779,0.557043,1
687,247,763,0.476626,1
688,818,767,0.416814,1
689,361,765,0.418625,1
690,196,766,0.374306,1
691,324,766,0.363051,1
692,406,774,0.46952,1
693,65,779,0.378615,1
694,358,776,0.36155,1
695,124,778,0.35295,1
696,652,783,0.50368,1
697,780,784,0.361571,1
698,332,792,0.393736,1
699,724,794,0.403228,1
700,913,795,0.38748,1
701,200,802,0.385789,1
702,645,835,0.694181,1
703,122,815,0.432162,1
704,70,808,0.374053,1
705,919,812,0.371567,1
706,206,822,0.362435,1
707,380,834,0.446458,1
708,172,826,0.359556,1
709,434,832,0.479372,1
710,282,836,0.352206,1
711,707,839,0.414493,1
712,35,846,0.405501,1
713,611,852,0.514915,1
714,991,846,0.459902,1
715,310,846,0.466648,1
716,579,849,0.465549,1
717,762,845,0.381181,1
718,65,848,0.399796,1
719,183,855,0.457224,1
720,888,854,0.387583,1
721,451,865,0.473154,1
722,94,860,0.394937,1
723,347,872,0.480176,1
724,558,873,0.497495,1
725,877,918,0.560655,1
726,134,899,0.467086,1
727,415,887,0.481609,1
728,760,877,0.385502,1
729,504,884,0.460877,1
730,600,880,0.378482,1
731,626,885,0.377533,1
732,899,894,0.420144,1
733,54,890,0.361881,1
734,670,890,0.357551,1
735,990,891,0.368562,1
736,797,894,0.362605,1
737,234,894,0.351213,1
738,946,894,0.353076,1
739,716,896,0.350355,1
740,768,902,0.445505,1
741,576,905,0.517332,1
742,68,918,0.450155,1
743,247,922,0.465571,1
744,360,904,0.387162,1
745,507,908,0.484353,1
746,725,911,0.396891,1
747,534,907,0.369174,1
748,842,913,0.368553,1
749,273,916,0.455944,1
750,104,917,0.374441,1
751,670,918,0.544558,1
752,397,930,0.434491,1
753,543,928,0.454639,1
754,466,927,0.385003,1
755,205,939,0.433097,1
756,821,930,0.371111,1
757,919,937,0.419981,1
758,167,950,0.570056,1
759,685,938,0.408805,1
760,104,938,0.384814,1
761,363,936,0.372624,1
762,659,941,0.358118,1
763,30,945,0.361172,1
764,106,959,0.545687,1
765,216,949,0.364355,1
766,745,949,0.354881,1
767,651,952,0.392751,1
768,560,955,0.392914,1
769,949,952,0.364971,1
770,750,958,0.350741,1
